sleepStartTimestampGMT,sleepEndTimestampGMT,calendarDate,sleepWindowConfirmationType,deepSleepSeconds,lightSleepSeconds,remSleepSeconds,awakeSleepSeconds,unmeasurableSeconds,averageRespiration,lowestRespiration,highestRespiration,retro,awakeCount,avgSleepStress,restlessMomentCount,sleepScores.overallScore,sleepScores.qualityScore,sleepScores.durationScore,sleepScores.recoveryScore,sleepScores.deepScore,sleepScores.remScore,sleepScores.lightScore,sleepScores.awakeningsCountScore,sleepScores.awakeTimeScore,sleepScores.combinedAwakeScore,sleepScores.restfulnessScore,sleepScores.interruptionsScore,sleepScores.feedback,sleepScores.insight
2022-07-25 23:38:00,2022-07-26 05:56:00,2022-07-26,ENHANCED_CONFIRMED_FINAL,1020.0,11820.0,6840.0,3000.0,0.0,13.0,8.0,17.0,False,2.0,12.074866310160427,28.0,64.0,74.0,59.0,95.0,52.0,72.0,87.0,74.0,50.0,62.0,78.0,66.0,NEGATIVE_SHORT_AND_POOR_STRUCTURE,NONE
2022-07-26 23:14:00,2022-07-27 06:39:00,2022-07-27,ENHANCED_CONFIRMED_FINAL,4620.0,13680.0,5400.0,3000.0,0.0,13.0,9.0,17.0,False,2.0,8.291666666666666,54.0,75.0,85.0,73.0,100.0,97.0,92.0,91.0,74.0,50.0,62.0,46.0,59.0,POSITIVE_RECOVERING,POSITIVE_EXERCISE
2022-07-27 23:00:00,2022-07-28 05:44:00,2022-07-28,ENHANCED_CONFIRMED_FINAL,4140.0,15900.0,2460.0,1740.0,0.0,14.0,9.0,18.0,False,2.0,8.98989898989899,62.0,71.0,79.0,69.0,100.0,92.0,60.0,72.0,74.0,71.0,72.0,28.0,62.0,NEGATIVE_RESTLESS,NONE
2022-07-28 22:44:00,2022-07-29 07:00:00,2022-07-29,ENHANCED_CONFIRMED_FINAL,6540.0,12900.0,7140.0,3180.0,0.0,13.0,9.0,21.0,False,3.0,12.325203252032521,55.0,76.0,80.0,87.0,87.0,100.0,100.0,100.0,61.0,47.0,54.0,51.0,54.0,POSITIVE_LONG_AND_REFRESHING,POSITIVE_LATE_BED_TIME
2022-07-29 22:43:00,2022-07-30 06:37:00,2022-07-30,ENHANCED_CONFIRMED_FINAL,5580.0,17400.0,4140.0,1320.0,0.0,13.0,9.0,21.0,False,2.0,7.325520833333333,76.0,81.0,83.0,91.0,100.0,100.0,69.0,80.0,74.0,78.0,76.0,27.0,64.0,POSITIVE_LONG_AND_RECOVERING,POSITIVE_RESTFUL_DAY
2022-07-31 02:19:00,2022-07-31 07:10:00,2022-07-31,ENHANCED_CONFIRMED_FINAL,7200.0,9180.0,,1080.0,0.0,11.0,8.0,17.0,False,1.0,36.044520547945204,23.0,34.0,45.0,43.0,0.0,100.0,0.0,94.0,87.0,83.0,85.0,82.0,85.0,NEGATIVE_SHORT_AND_POOR_QUALITY,NONE
2022-07-31 22:49:00,2022-08-01 06:26:00,2022-08-01,ENHANCED_CONFIRMED_FINAL,2520.0,14400.0,8520.0,1980.0,0.0,14.0,9.0,17.0,False,2.0,12.222707423580786,68.0,74.0,75.0,79.0,91.0,68.0,75.0,93.0,74.0,67.0,70.0,31.0,62.0,NEGATIVE_RESTLESS,NONE
2022-08-01 21:55:00,2022-08-02 04:46:00,2022-08-02,ENHANCED_CONFIRMED_FINAL,7440.0,9300.0,7560.0,360.0,0.0,14.0,9.0,21.0,False,0.0,10.868932038834952,56.0,81.0,88.0,75.0,91.0,100.0,80.0,93.0,100.0,99.0,99.0,43.0,84.0,POSITIVE_CONTINUOUS,POSITIVE_EXERCISE
2022-08-02 20:54:00,2022-08-03 05:09:00,2022-08-03,ENHANCED_CONFIRMED_FINAL,5460.0,16200.0,7140.0,900.0,0.0,13.0,9.0,17.0,False,1.0,10.451612903225806,44.0,95.0,93.0,100.0,97.0,95.0,100.0,94.0,87.0,87.0,87.0,73.0,84.0,POSITIVE_OPTIMAL_STRUCTURE,NONE
2022-08-03 22:34:00,2022-08-04 06:30:00,2022-08-04,ENHANCED_CONFIRMED_FINAL,4560.0,14940.0,8820.0,240.0,0.0,13.0,8.0,16.0,False,0.0,14.857142857142858,59.0,87.0,82.0,99.0,79.0,81.0,80.0,100.0,100.0,100.0,100.0,52.0,87.0,POSITIVE_LONG_AND_CONTINUOUS,NONE
2022-08-04 23:00:00,2022-08-05 04:56:00,2022-08-05,ENHANCED_CONFIRMED_FINAL,3300.0,11580.0,5160.0,1320.0,0.0,14.0,10.0,20.0,False,1.0,10.467236467236468,36.0,71.0,87.0,60.0,92.0,82.0,100.0,91.0,87.0,78.0,82.0,60.0,78.0,POSITIVE_REFRESHING,POSITIVE_LATE_BED_TIME
2022-08-05 23:47:00,2022-08-06 06:36:00,2022-08-06,ENHANCED_CONFIRMED_FINAL,6420.0,10980.0,6240.0,900.0,0.0,15.0,9.0,20.0,False,1.0,16.726161369193154,50.0,78.0,85.0,73.0,76.0,100.0,100.0,100.0,87.0,87.0,87.0,50.0,78.0,POSITIVE_REFRESHING,POSITIVE_LATE_BED_TIME
2022-08-06 22:07:00,2022-08-07 05:47:00,2022-08-07,ENHANCED_CONFIRMED_FINAL,2340.0,16740.0,6960.0,1560.0,0.0,14.0,9.0,21.0,False,1.0,10.984815618221258,46.0,82.0,85.0,83.0,94.0,66.0,100.0,80.0,87.0,74.0,80.0,62.0,77.0,POSITIVE_LONG_AND_REFRESHING,NONE
